ID,INTEREST_NAME,INTEREST_SUMMARY,CREATED_AT,LAST_MODIFIED,
1,Fitness Enthusiasts,Consumers using fitness tracking apps and websites.,5/26/2016 14:57,5/23/2018 11:30,
2,Gamers,Consumers researching game reviews and cheat codes.,5/26/2016 14:57,5/23/2018 11:30,
3,Car Enthusiasts,Readers of automotive news and car reviews.,5/26/2016 14:57,5/23/2018 11:30,
4,Luxury Retail Researchers,Consumers researching luxury product reviews and gift ideas.,5/26/2016 14:57,5/23/2018 11:30,
5,Brides & Wedding Planners,People researching wedding ideas and vendors.,5/26/2016 14:57,5/23/2018 11:30,
6,Vacation Planners,Consumers reading reviews of vacation destinations and accommodations.,5/26/2016 14:57,5/23/2018 11:30,
7,Motorcycle Enthusiasts,Readers of motorcycle news and reviews.,5/26/2016 14:57,5/23/2018 11:30,
8,Business News Readers,Readers of online business news content.,5/26/2016 14:57,5/23/2018 11:30,
12,Thrift Store Shoppers,Consumers shopping online for clothing at thrift stores and researching locations.,5/26/2016 14:57,3/16/2018 13:14,
13,Advertising Professionals,People who read advertising industry news.,5/26/2016 14:57,5/23/2018 11:30,
14,NFL Fans,People reading articles and websites about football and the NFL.,5/26/2016 14:57,5/23/2018 11:30,
15,NBA Fans,People reading articles and websites about basketball and the NBA.,5/26/2016 14:57,5/23/2018 11:30,
16,NCAA Fans,People reading articles and websites about college sports and the NCAA.,5/26/2016 14:57,5/23/2018 11:30,
17,MLB Fans,People reading articles and websites about baseball and the MLB.,5/26/2016 14:57,5/23/2018 11:30,
18,Nascar Fans,People reading articles and websites about nascar.,5/26/2016 14:57,5/23/2018 11:30,
19,Eco-Conscious Consumers,People researching climate change and sustainable living.,5/26/2016 14:57,5/23/2018 11:30,
20,Moviegoers,Consumers researching box office listings and buying movie tickets.,5/26/2016 14:57,5/23/2018 11:30,
21,DIYers,Consumers researching DIY projects.,5/26/2016 14:57,5/23/2018 11:30,
22,Grill Masters,Grill owners researching new recipes.,5/26/2016 14:57,5/23/2018 11:30,
23,Techies,Readers of tech news and gadget reviews.,5/26/2016 14:57,5/23/2018 11:30,
